AccountID,AccountName,Industry,AnnualRevenue,CreatedDate
e0a9393c-cb7f-4744-9169-5deee33a734a,"Hale, Wright and Roberts",Tech,7388590,2025-02-28
556a6e34-a17a-47bf-99e2-2a24d84a1cc6,Ford-Johnston,Tech,9525321,2025-02-18
44f13958-26cf-46aa-906a-c6fc99efff7b,Hernandez-Martin,Tech,4190138,2024-11-22
1ce9cc10-6224-4925-a006-0d060dc2551e,"Alexander, Smith and Gallagher",Tech,1100495,2024-11-25
052cd14c-c354-49c6-8e7a-1c48ae423522,"Friedman, Tyler and Schaefer",Finance,2965610,2025-02-01
7a922db4-a4db-4ff2-8fcd-25490c9c0dcd,Graham PLC,Retail,1143129,2024-11-05
88562350-1a7f-4660-8630-11a714b6af18,"Krueger, Briggs and Barr",Healthcare,2318286,2025-01-10
632d395c-be00-4ae2-bb71-7c7e4232a9ae,Mcfarland and Sons,Retail,6848002,2024-12-20
64e28ffb-85c9-4d2f-8caa-092a11235b71,"Pitts, Turner and Rice",Retail,8880122,2025-03-01
326ee77a-d535-4685-892e-3225292b7325,Owen-Ellis,Retail,1130439,2024-12-30
dfbcf56e-36b0-4175-b2fc-13939d9eadb2,"Adams, Ochoa and Harrison",Finance,4778361,2025-02-19
eb03080b-a735-442a-a9e4-b74edf52ccc8,Horne and Sons,Tech,3955986,2024-11-07
e8041dcf-0e28-4a46-8cfb-39db4b96c689,Fisher LLC,Finance,5003500,2024-11-11
cc2d18ba-a088-41ce-9893-0705738d656d,Farmer Inc,Healthcare,4894574,2024-12-29
fd9a0fac-128a-402e-9525-0c003502fe7e,Huang-Rosales,Tech,7699311,2025-01-01
1053364a-1f93-43e1-af2b-d34632abf298,"Gaines, Kelley and Salazar",Healthcare,9609261,2024-11-10
7860f163-a3c4-4d39-b0a6-346c2292c286,"King, Church and Bailey",Retail,4782136,2025-02-04
900e5fb1-03c3-4350-af60-d60b8b36acac,Ortiz Inc,Finance,4063286,2025-04-15
3c77271a-6ae2-451e-a069-afef8f36740f,Gardner-Trujillo,Tech,9210990,2025-03-15
412f0b26-e65d-49d8-b2e5-124039a670ef,Harris-White,Tech,6216470,2025-03-04
ed80703d-0ef7-41b3-ae86-54682627cc5c,Rice Ltd,Healthcare,3258572,2025-03-16
fd973329-3109-46a2-8878-9e6c8f3aa763,"Nelson, Smith and Wilson",Finance,7666830,2025-01-02
84d092c3-a0f3-4d30-9249-d26414b9fd3d,Brown Inc,Retail,1434572,2024-11-24
88fbc785-8c28-4109-a1bc-1d7ff7b93a20,"Foster, Williams and Perry",Tech,9301792,2025-03-09
3bb22381-b795-4962-bbfa-088e62255ae8,Smith and Sons,Retail,2738124,2025-03-13
43150348-f793-4d1b-8e19-2e3cdab99034,Bartlett and Sons,Retail,2808102,2025-01-22
87fa5de1-3b8d-43d1-a1ce-c5974f948314,Cruz and Sons,Retail,5530474,2024-11-14
0948868d-4f28-4d59-8a71-38a42049991e,"Gould, Chen and Ho",Retail,1481138,2025-01-22
fe5f462e-cef1-46a1-9dbb-6a34df75a0ec,Grant-Good,Healthcare,1211083,2025-03-25
6befed0b-d943-4b0c-adb4-9d641b222053,Mullins-Wallace,Healthcare,7372425,2025-04-05
b6d40606-2c14-4092-83b2-ed43730a90fb,Rogers-Reeves,Healthcare,1220811,2024-12-15
7bcd04e4-459e-4f19-a0d6-053cc1cc8f35,Butler Ltd,Tech,6502542,2025-03-08
a91578db-a9d0-4d9e-aa2d-532754245a58,"Wilson, Morris and Kelly",Finance,7129741,2025-03-04
eaf68ec2-188d-4182-a2e8-2d20ebdeee1d,George LLC,Healthcare,2894710,2025-04-25
e943fb43-2ae5-4874-b15d-8781be59ad17,Smith LLC,Healthcare,9315161,2025-01-06
2407981b-16ec-49ab-ae47-785afc918d30,Ramos-Edwards,Tech,9428213,2025-01-13
45a439e6-fca7-40ce-bc29-ede1a508ece0,Barrett Group,Retail,3640756,2025-04-25
7e00dbb3-c250-468a-adf2-30c987acbaa8,Klein LLC,Tech,8113476,2024-11-08
72c69805-32eb-4f14-a2d4-e5e72c2a3c82,Evans-Miller,Tech,1692562,2025-03-21
5de78bd8-5039-44c9-8269-da4eca6342d8,Kelly-Wallace,Retail,3993414,2024-12-26
556d28e9-e756-4a1d-8629-a4f20161e2cf,"Douglas, Gonzales and Mendez",Retail,2673271,2025-04-26
e2ecafcf-6449-48a8-9117-ed730bfe6c3a,"Miller, Nelson and Smith",Retail,5865874,2025-02-17
0754b081-9ab6-4b97-ae82-7fdb51f92dcb,Evans Ltd,Retail,7618433,2025-02-27
e3541650-94ac-44d2-83d6-0e467af33003,Wright and Sons,Healthcare,8642747,2024-12-31
3300093a-e693-4699-848c-cd5cc4ffa23c,"Floyd, Sullivan and Carlson",Healthcare,9232884,2025-01-05
fef5fa45-9524-47dd-9a07-0bedf54a2c8b,Kelley Group,Retail,5069204,2025-02-12
1e3f20fd-ba58-4fad-a6e8-c2b1eef9c7da,Cox Inc,Retail,8231383,2024-12-28
18b8111b-66fd-4eca-a944-f37ba534b078,"Martinez, Booker and Tucker",Healthcare,6422253,2024-12-16
5ac4159c-2ac4-4ea8-8295-63a23abfb678,Fleming PLC,Tech,2813325,2025-03-07
03a65075-002f-4579-9f0b-7c0d9ade923c,Frost LLC,Finance,8653553,2025-01-16
4687b390-d205-4736-9704-b0f6dfed1eef,Beard Group,Finance,5091857,2025-03-02
82b6630f-4848-4e94-b877-2c9a23a42a2e,Mcdonald-Brennan,Finance,4333976,2024-12-28
7aea5389-470e-4708-b6e3-644c6b1537e7,Obrien-Walsh,Finance,4276013,2025-03-07
